index,Date,Home,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin
0,2022-10-19,Detroit Pistons,Orlando Magic,215.5,3.5,-164,138,222,4
1,2022-10-19,Indiana Pacers,Washington Wizards,229.0,-2.5,120,-142,221,-7
2,2022-10-19,Memphis Grizzlies,New York Knicks,226.5,4.5,-190,160,227,3
3,2022-10-19,Brooklyn Nets,New Orleans Pelicans,232.0,3.0,-148,126,238,-22
4,2022-10-19,Miami Heat,Chicago Bulls,217.5,10.5,-590,430,224,-8
5,2022-10-19,Toronto Raptors,Cleveland Cavaliers,214.5,2.5,-150,118,213,3
6,2022-10-19,Atlanta Hawks,Houston Rockets,235.5,10.5,-520,400,224,10
7,2022-10-19,Minnesota Timberwolves,Oklahoma City Thunder,225.5,11.0,-650,480,223,7
8,2022-10-19,San Antonio Spurs,Charlotte Hornets,221.0,-1.0,-104,-116,231,-27
9,2022-10-19,Utah Jazz,Denver Nuggets,224.5,-7.5,245,-300,225,21
10,2022-10-19,Sacramento Kings,Portland Trail Blazers,230.5,4.5,-205,158,223,-7
11,2022-10-19,Phoenix Suns,Dallas Mavericks,219.5,4.0,-188,158,212,2
12,2022-10-20,Philadelphia 76ers,Milwaukee Bucks,225.0,4.0,-174,146,178,-2
13,2022-10-20,Los Angeles Lakers,Los Angeles Clippers,227.5,-4.5,180,-215,200,-6
14,2022-10-21,Charlotte Hornets,New Orleans Pelicans,226.5,-7.0,220,-270,236,-12
15,2022-10-21,Washington Wizards,Chicago Bulls,220.0,1.5,-126,108,202,2
16,2022-10-21,Indiana Pacers,San Antonio Spurs,231.5,-3.5,138,-178,271,-3
17,2022-10-21,New York Knicks,Detroit Pistons,221.0,7.5,-290,235,236,24
18,2022-10-21,Brooklyn Nets,Toronto Raptors,226.0,2.5,-138,118,214,4
19,2022-10-21,Atlanta Hawks,Orlando Magic,226.0,9.5,-430,340,206,10
20,2022-10-21,Miami Heat,Boston Celtics,218.5,-3.5,126,-162,215,-7
21,2022-10-21,Minnesota Timberwolves,Utah Jazz,226.5,8.0,-330,265,258,-6
22,2022-10-21,Houston Rockets,Memphis Grizzlies,231.0,-7.0,225,-275,251,-7
23,2022-10-21,Golden State Warriors,Denver Nuggets,238.5,4.5,-215,164,251,-5
24,2022-10-21,Portland Trail Blazers,Phoenix Suns,224.0,-5.0,176,-210,224,2
25,2022-10-22,Philadelphia 76ers,San Antonio Spurs,225.0,13.5,-1100,700,219,-9
26,2022-10-22,Indiana Pacers,Detroit Pistons,231.5,1.0,-108,-108,239,9
27,2022-10-22,Orlando Magic,Boston Celtics,215.5,-9.0,300,-375,246,-6
28,2022-10-22,Milwaukee Bucks,Houston Rockets,228.0,13.0,-900,610,230,20
29,2022-10-22,Miami Heat,Toronto Raptors,216.5,3.0,-154,130,221,3
30,2022-10-22,Chicago Bulls,Cleveland Cavaliers,220.5,-1.0,-106,-110,224,-32
31,2022-10-22,Dallas Mavericks,Memphis Grizzlies,219.5,6.0,-220,184,233,41
32,2022-10-22,Denver Nuggets,Oklahoma City Thunder,227.5,8.5,-390,310,239,5
33,2022-10-22,Sacramento Kings,Los Angeles Clippers,225.0,-2.5,120,-142,220,-2
34,2022-10-23,Los Angeles Lakers,Portland Trail Blazers,223.5,6.5,-290,215,210,-2
35,2022-10-23,Atlanta Hawks,Charlotte Hornets,227.0,10.0,-480,370,235,-17
36,2022-10-23,Cleveland Cavaliers,Washington Wizards,217.5,-1.5,100,-128,224,10
37,2022-10-23,New Orleans Pelicans,Utah Jazz,232.0,8.5,-340,275,243,-1
38,2022-10-23,Oklahoma City Thunder,Minnesota Timberwolves,226.0,-10.0,380,-490,222,-10
39,2022-10-23,Golden State Warriors,Sacramento Kings,232.5,10.0,-480,370,255,5
40,2022-10-23,Los Angeles Clippers,Phoenix Suns,219.0,-1.0,-102,-116,207,-17
41,2022-10-24,Philadelphia 76ers,Indiana Pacers,228.5,12.5,-950,640,226,14
42,2022-10-24,Miami Heat,Toronto Raptors,216.5,3.5,-174,136,188,-8
43,2022-10-24,New York Knicks,Orlando Magic,223.0,7.5,-300,245,217,13
44,2022-10-24,Houston Rockets,Utah Jazz,234.0,-2.5,120,-142,222,6
45,2022-10-24,Memphis Grizzlies,Brooklyn Nets,235.5,1.5,-112,-104,258,10
46,2022-10-24,Minnesota Timberwolves,San Antonio Spurs,233.5,7.5,-350,255,221,-9
47,2022-10-24,Chicago Bulls,Boston Celtics,223.5,-10.5,400,-620,222,18
48,2022-10-24,Portland Trail Blazers,Denver Nuggets,223.5,-4.5,152,-196,245,25
